accident_id,accident_date,state,road_type,cause,weather,light_condition,vehicle_type,severity,casualties,fatalities,speed_kmph
ACC00001,2023-11-22 06:00,Rajasthan,State Highway,Bad Weather,Foggy,Night - No Light,Pedestrian,Minor,4,0,80.4
ACC00002,2020-08-21 06:00,Karnataka,State Highway,Distracted Driving,Clear,Night - No Light,Truck,Fatal,1,0,46.8
ACC00003,2018-10-01 01:00,Uttar Pradesh,Urban Road,Signal Jumping,Foggy,Daylight,Pedestrian,Minor,2,1,84.1
ACC00004,2023-03-26 09:00,Rajasthan,Urban Road,Vehicle Failure,Clear,Night - Street Lit,Car,Minor,2,0,36.4
ACC00005,2023-04-14 14:00,Rajasthan,Expressway,Bad Weather,Rainy,Night - No Light,Car,Serious,1,1,68.3
ACC00006,2018-12-11 01:00,Bihar,Rural Road,Wrong Side Driving,Rainy,Night - No Light,Truck,Serious,2,0,104.4
ACC00007,2021-11-12 17:00,Bihar,State Highway,Wrong Side Driving,Windy,Dawn/Dusk,Bus,Serious,1,0,73.7
ACC00008,2020-07-13 21:00,Uttar Pradesh,National Highway,Distracted Driving,Rainy,Dawn/Dusk,Bus,Serious,2,0,22.6
ACC00009,2019-06-13 01:00,Uttar Pradesh,Rural Road,Drunk Driving,Foggy,Night - No Light,Pedestrian,Minor,1,0,50.3
ACC00010,2022-05-16 23:00,Odisha,State Highway,Vehicle Failure,Hazy,Night - No Light,Bus,Serious,4,1,2.2
ACC00011,2018-02-09 00:00,Bihar,National Highway,Drunk Driving,Foggy,Daylight,Pedestrian,Fatal,0,0,28.4
ACC00012,2022-09-17 18:00,West Bengal,Rural Road,Bad Weather,Foggy,Night - No Light,Bus,Fatal,0,0,61.5
ACC00013,2020-03-21 11:00,Karnataka,State Highway,Poor Road Condition,Windy,Night - No Light,Truck,Minor,2,0,83.3
ACC00014,2022-08-28 04:00,Bihar,Rural Road,Wrong Side Driving,Windy,Night - Street Lit,Car,Minor,2,1,51.9
ACC00015,2018-05-25 12:00,Odisha,Expressway,Drunk Driving,Windy,Daylight,Two-Wheeler,Minor,4,0,27.8
ACC00016,2021-06-03 10:00,Gujarat,Expressway,Drunk Driving,Clear,Night - Street Lit,Car,Fatal,2,2,60.8
ACC00017,2020-04-16 21:00,Gujarat,Expressway,Signal Jumping,Foggy,Night - Street Lit,Truck,Serious,3,3,93.0
ACC00018,2018-05-09 06:00,Odisha,Rural Road,Distracted Driving,Foggy,Night - No Light,Pedestrian,Minor,6,3,11.7
ACC00019,2018-08-12 23:00,Madhya Pradesh,National Highway,Signal Jumping,Hazy,Night - No Light,Car,Fatal,0,0,105.6
ACC00020,2023-09-03 05:00,Bihar,Urban Road,Vehicle Failure,Windy,Night - No Light,Car,Fatal,1,0,49.1
ACC00021,2023-08-02 00:00,Gujarat,Rural Road,Over Speeding,Rainy,Night - No Light,Bus,Serious,1,1,113.9
ACC00022,2018-01-21 16:00,Bihar,National Highway,Bad Weather,Clear,Night - Street Lit,Two-Wheeler,Serious,2,1,107.9
ACC00023,2022-03-21 05:00,Tamil Nadu,Urban Road,Vehicle Failure,Hazy,Night - No Light,Pedestrian,Serious,3,1,72.8
ACC00024,2023-02-16 04:00,Rajasthan,Expressway,Drunk Driving,Rainy,Daylight,Car,Fatal,3,0,76.0
ACC00025,2023-07-06 10:00,West Bengal,Rural Road,Vehicle Failure,Windy,Daylight,Bus,Minor,2,1,39.5
ACC00026,2018-04-04 18:00,Bihar,Rural Road,Drunk Driving,Hazy,Night - No Light,Auto-Rickshaw,Minor,1,0,2.6
ACC00027,2019-03-24 22:00,Karnataka,Rural Road,Over Speeding,Foggy,Daylight,Pedestrian,Minor,3,1,22.6
ACC00028,2020-07-18 12:00,Odisha,State Highway,Bad Weather,Windy,Dawn/Dusk,Two-Wheeler,Serious,3,1,68.8
ACC00029,2023-07-18 05:00,Bihar,Urban Road,Vehicle Failure,Hazy,Daylight,Bus,Serious,0,0,106.9
ACC00030,2021-07-17 12:00,Maharashtra,National Highway,Signal Jumping,Windy,Night - No Light,Bus,Minor,1,0,53.9
ACC00031,2022-11-17 01:00,Maharashtra,Rural Road,Poor Road Condition,Foggy,Night - No Light,Auto-Rickshaw,Fatal,3,0,93.1
ACC00032,2018-08-02 15:00,Gujarat,National Highway,Vehicle Failure,Windy,Night - No Light,Pedestrian,Fatal,6,2,83.1
ACC00033,2021-08-12 09:00,Tamil Nadu,National Highway,Wrong Side Driving,Rainy,Dawn/Dusk,Truck,Minor,3,0,28.2
